sid,season,name,subbasin,nature,valid_time,lat,lon,dist2land_km,landfall_km,storm_speed_kt,storm_dir_deg,imd_wind_kt,imd_pres_hpa,imd_ci,jtwc_wind_1min_kt,jtwc_wind_kt,jtwc_pres_hpa,vmax_kt,pmin_hpa,label_agency,label_spread_kt,basin,imd_category,storm_motion_u_kt,storm_motion_v_kt,trend_12h_kt,vmax_plus_12h_kt,dv_12h_kt,vmax_plus_24h_kt,dv_24h_kt,vmax_plus_48h_kt,dv_48h_kt,ri_24h,reintensify_land,regime,featured_slug,is_featured
1990124N09088,1990,Unnamed,BB,NR,1990-05-05 00:00:00,9.7,85.5,469,439.0,6.0,300.0,30.0,998.0,2.0,30.0,27.9,,30.0,998.0,IMD,2.099999999999998,bay_of_bengal,DD,-5.196152422706632,3.000000000000001,5.0,45.0,15.0,55.0,25.0,90.0,60.0,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-05 03:00:00,9.8,85.2,444,415.0,6.0,290.0,33.0,999.0,,33.0,30.69,,33.0,999.0,IMD,2.3099999999999987,bay_of_bengal,DD,-5.63815572471545,2.052120859954014,8.0,50.0,17.0,66.0,33.0,103.0,70.0,1.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-05 06:00:00,9.9,84.9,419,409.0,4.0,295.0,35.0,999.0,2.5,35.0,32.550000000000004,,35.0,999.0,IMD,2.449999999999996,bay_of_bengal,CS,-3.6252311481465993,1.6904730469627984,10.0,55.0,20.0,77.0,42.0,115.0,80.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-05 09:00:00,9.9,84.8,409,394.0,4.0,305.0,40.0,997.0,,35.0,32.550000000000004,,40.0,997.0,IMD,7.449999999999996,bay_of_bengal,CS,-3.276608177155967,2.294305745404184,12.0,55.0,15.0,77.0,37.0,115.0,75.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-05 12:00:00,10.0,84.6,399,376.0,5.0,295.0,45.0,994.0,3.0,35.0,32.550000000000004,,45.0,994.0,IMD,12.449999999999996,bay_of_bengal,CS,-4.531538935183249,2.113091308703498,15.0,55.0,10.0,77.0,32.0,115.0,70.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-05 15:00:00,10.2,84.3,376,349.0,6.0,290.0,50.0,993.0,,38.0,35.34,,50.0,993.0,IMD,14.659999999999997,bay_of_bengal,SCS,-5.63815572471545,2.052120859954014,17.0,66.0,16.0,77.0,27.0,109.0,59.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-05 18:00:00,10.3,84.0,355,327.0,6.0,280.0,55.0,991.0,3.5,40.0,37.2,,55.0,991.0,IMD,17.799999999999997,bay_of_bengal,SCS,-5.908846518073249,1.0418890660015798,20.0,77.0,22.0,77.0,22.0,102.0,47.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-05 21:00:00,10.3,83.7,327,309.0,5.0,270.0,55.0,991.0,,43.0,39.99,,55.0,991.0,IMD,15.009999999999998,bay_of_bengal,SCS,-5.0,-9.184850993605148e-16,15.0,77.0,22.0,84.0,29.0,115.0,60.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-06 00:00:00,10.3,83.5,309,294.0,4.0,255.0,55.0,991.0,3.5,45.0,41.85,,55.0,991.0,IMD,13.15,bay_of_bengal,SCS,-3.863703305156273,-1.0352761804100823,10.0,77.0,22.0,90.0,35.0,127.0,72.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-06 03:00:00,10.2,83.4,294,278.0,3.0,250.0,66.0,984.0,,48.0,44.64,,66.0,984.0,IMD,21.36,bay_of_bengal,VSCS,-2.8190778623577253,-1.0260604299770058,16.0,77.0,11.0,103.0,37.0,127.0,61.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-06 06:00:00,10.2,83.3,285,267.0,2.0,275.0,77.0,976.0,4.5,50.0,46.5,,77.0,976.0,IMD,30.5,bay_of_bengal,VSCS,-1.992389396183491,0.1743114854953157,22.0,77.0,0.0,115.0,38.0,127.0,50.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-06 09:00:00,10.2,83.1,267,265.0,3.0,295.0,77.0,976.0,,53.0,49.29,,77.0,976.0,IMD,27.71,bay_of_bengal,VSCS,-2.7189233611099493,1.2678547852220987,22.0,84.0,7.0,115.0,38.0,127.0,50.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-06 12:00:00,10.3,83.0,265,246.0,4.0,285.0,77.0,976.0,4.5,55.0,51.150000000000006,,77.0,976.0,IMD,25.849999999999994,bay_of_bengal,VSCS,-3.8637033051562737,1.0352761804100812,22.0,90.0,13.0,115.0,38.0,127.0,50.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-06 15:00:00,10.3,82.7,236,226.0,4.0,285.0,77.0,976.0,,58.0,53.940000000000005,,77.0,976.0,IMD,23.059999999999995,bay_of_bengal,VSCS,-3.8637033051562737,1.0352761804100812,11.0,103.0,26.0,109.0,32.0,115.0,38.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-06 18:00:00,10.4,82.6,232,223.0,5.0,320.0,77.0,976.0,4.5,60.0,55.8,,77.0,976.0,IMD,21.2,bay_of_bengal,VSCS,-3.213938048432698,3.830222215594889,0.0,115.0,38.0,102.0,25.0,102.0,25.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-06 21:00:00,10.7,82.4,235,235.0,7.0,340.0,84.0,970.0,,65.0,60.45,,84.0,970.0,IMD,23.55,bay_of_bengal,VSCS,-2.3941410032796804,6.577848345501359,7.0,115.0,31.0,115.0,31.0,96.0,12.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-07 00:00:00,11.0,82.3,251,240.0,5.0,325.0,90.0,964.0,5.0,70.0,65.10000000000001,,90.0,964.0,IMD,24.89999999999999,bay_of_bengal,ESCS,-2.8678821817552325,4.095760221444958,13.0,115.0,25.0,127.0,37.0,90.0,0.0,1.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-07 03:00:00,11.1,82.1,240,229.0,4.0,295.0,103.0,952.0,,78.0,72.54,,103.0,952.0,IMD,30.459999999999997,bay_of_bengal,ESCS,-3.6252311481465993,1.6904730469627984,26.0,109.0,6.0,127.0,24.0,90.0,-13.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-07 06:00:00,11.2,82.0,229,218.0,3.0,305.0,115.0,940.0,6.0,85.0,79.05,,115.0,940.0,IMD,35.95,bay_of_bengal,ESCS,-2.4574561328669757,1.720729309053138,38.0,102.0,-13.0,127.0,12.0,90.0,-25.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-07 09:00:00,11.3,81.9,218,218.0,3.0,345.0,115.0,939.0,,90.0,83.7,,115.0,939.0,IMD,31.3,bay_of_bengal,ESCS,-0.776457135307562,2.897777478867205,31.0,115.0,0.0,127.0,12.0,90.0,-25.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-07 12:00:00,11.5,81.9,216,195.0,5.0,0.0,115.0,938.0,6.0,95.0,88.35000000000001,,115.0,938.0,IMD,26.64999999999999,bay_of_bengal,ESCS,0.0,5.0,25.0,127.0,12.0,127.0,12.0,90.0,-25.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-07 15:00:00,11.8,81.8,190,179.0,7.0,0.0,109.0,944.0,,100.0,93.0,,109.0,944.0,IMD,16.0,bay_of_bengal,ESCS,0.0,7.0,6.0,127.0,18.0,115.0,6.0,78.0,-31.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-07 18:00:00,12.2,81.9,187,173.0,9.0,0.0,102.0,950.0,5.5,105.0,97.65,,102.0,950.0,IMD,4.349999999999994,bay_of_bengal,ESCS,0.0,9.0,-13.0,127.0,25.0,102.0,0.0,65.0,-37.0,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-07 21:00:00,12.6,81.8,173,165.0,9.0,355.0,115.0,937.0,,110.0,102.3,,115.0,937.0,IMD,12.699999999999989,bay_of_bengal,ESCS,-0.7844016847289249,8.96575228282571,0.0,127.0,12.0,96.0,-19.0,65.0,-50.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-08 00:00:00,13.1,81.8,164,151.0,7.0,345.0,127.0,924.0,6.5,115.0,106.95,,127.0,924.0,IMD,20.05,bay_of_bengal,SuCS,-1.8117333157176447,6.761480784023478,12.0,127.0,0.0,90.0,-37.0,65.0,-62.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-08 03:00:00,13.3,81.7,151,129.0,6.0,330.0,127.0,924.0,,120.0,111.6,,127.0,924.0,IMD,15.399999999999991,bay_of_bengal,SuCS,-3.0000000000000027,5.19615242270663,18.0,115.0,-12.0,90.0,-37.0,57.0,-70.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-08 06:00:00,13.6,81.5,129,118.0,5.0,325.0,127.0,924.0,6.5,125.0,116.25,,127.0,924.0,IMD,10.75,bay_of_bengal,SuCS,-2.8678821817552325,4.095760221444958,25.0,102.0,-25.0,90.0,-37.0,48.0,-79.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-08 09:00:00,13.8,81.3,108,97.0,5.0,325.0,127.0,922.0,,125.0,116.25,,127.0,922.0,IMD,10.75,bay_of_bengal,SuCS,-2.8678821817552325,4.095760221444958,12.0,96.0,-31.0,90.0,-37.0,38.0,-89.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-08 12:00:00,14.0,81.2,99,92.0,6.0,330.0,127.0,920.0,6.5,125.0,116.25,,127.0,920.0,IMD,10.75,bay_of_bengal,SuCS,-3.0000000000000027,5.19615242270663,0.0,90.0,-37.0,90.0,-37.0,27.0,-100.0,0.0,0.0,maritime_mature,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-08 15:00:00,14.2,81.0,87,86.0,6.0,335.0,115.0,935.0,,120.0,111.6,,115.0,935.0,IMD,3.3999999999999915,bay_of_bengal,ESCS,-2.535709570444195,5.4378467222199,-12.0,90.0,-25.0,78.0,-37.0,41.85,-73.15,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-08 18:00:00,14.5,81.0,86,75.0,5.0,350.0,102.0,950.0,5.5,115.0,106.95,,102.0,950.0,IMD,4.950000000000003,bay_of_bengal,ESCS,-0.868240888334652,4.92403876506104,-25.0,90.0,-12.0,65.0,-37.0,37.2,-64.8,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-08 21:00:00,14.8,81.0,88,79.0,5.0,5.0,96.0,955.0,,115.0,106.95,,96.0,955.0,IMD,10.950000000000005,bay_of_bengal,ESCS,0.4357787137382908,4.980973490458728,-31.0,90.0,-6.0,65.0,-31.0,35.34,-60.66,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-09 00:00:00,15.0,81.0,79,68.0,4.0,5.0,90.0,960.0,5.0,115.0,106.95,,90.0,960.0,IMD,16.950000000000003,bay_of_bengal,ESCS,0.3486229709906326,3.984778792366982,-37.0,90.0,0.0,65.0,-25.0,32.550000000000004,-57.45,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-09 03:00:00,15.2,81.0,56,46.0,3.0,355.0,90.0,960.0,,113.0,105.09,,90.0,960.0,IMD,15.090000000000003,bay_of_bengal,ESCS,-0.2614672282429749,2.988584094275237,-25.0,78.0,-12.0,57.0,-33.0,30.69,-59.31,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-09 06:00:00,15.3,81.0,46,24.0,4.0,0.0,90.0,960.0,5.0,110.0,102.3,,90.0,960.0,IMD,12.300000000000011,bay_of_bengal,ESCS,0.0,4.0,-12.0,65.0,-25.0,48.0,-42.0,27.9,-62.1,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-09 09:00:00,15.5,81.0,24,10.0,5.0,0.0,90.0,958.0,,105.0,97.65,,90.0,958.0,IMD,7.650000000000006,bay_of_bengal,ESCS,0.0,5.0,-6.0,65.0,-25.0,38.0,-52.0,,,0.0,0.0,sheared,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-09 12:00:00,15.8,81.0,0,0.0,4.0,335.0,90.0,956.0,5.0,100.0,93.0,,90.0,956.0,IMD,3.0,land,ESCS,-1.6904730469627969,3.6252311481466,0.0,65.0,-25.0,27.0,-63.0,,,0.0,0.0,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-09 15:00:00,15.9,80.8,0,0.0,5.0,310.0,78.0,,,95.0,88.35000000000001,,78.0,,IMD,10.350000000000009,land,VSCS,-3.8302222155948895,3.2139380484326963,-12.0,57.0,-21.0,41.85,-36.15,,,0.0,0.0,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-09 18:00:00,16.1,80.6,0,0.0,6.0,315.0,65.0,,0.0,90.0,83.7,,65.0,,IMD,18.700000000000003,land,VSCS,-4.242640687119286,4.242640687119284,-25.0,48.0,-17.0,37.2,-27.8,,,0.0,0.0,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-09 21:00:00,16.3,80.4,0,0.0,7.0,320.0,65.0,,,80.0,74.4,,65.0,,IMD,9.400000000000006,land,VSCS,-4.499513267805777,5.362311101832844,-25.0,38.0,-27.0,35.34,-29.66,,,0.0,0.0,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-10 00:00:00,16.6,80.2,0,0.0,6.0,315.0,65.0,,0.0,70.0,65.10000000000001,,65.0,,IMD,0.1000000000000085,land,VSCS,-4.242640687119286,4.242640687119284,-25.0,27.0,-38.0,32.550000000000004,-32.45,,,0.0,0.0,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-10 03:00:00,16.7,79.9,0,0.0,5.0,320.0,57.0,,,65.0,60.45,,57.0,,IMD,3.450000000000003,land,SCS,-3.213938048432698,3.830222215594889,-21.0,41.85,-15.15,30.69,-26.31,,,0.0,0.0,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-10 06:00:00,17.0,79.8,0,0.0,8.0,340.0,48.0,,0.0,60.0,55.8,,48.0,,IMD,7.800000000000004,land,SCS,-2.736161146605349,7.517540966287267,-17.0,37.2,-10.799999999999995,27.9,-20.1,,,0.0,0.0,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-10 09:00:00,17.4,79.7,0,0.0,11.0,355.0,38.0,,,55.0,51.150000000000006,,38.0,,IMD,13.150000000000006,land,CS,-0.9587131702242416,10.9581416790092,-27.0,35.34,-2.6599999999999966,,,,,,,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-10 12:00:00,18.0,79.6,0,0.0,13.0,0.0,27.0,,0.0,50.0,46.5,,27.0,,IMD,19.5,land,D,0.0,13.0,-38.0,32.550000000000004,5.550000000000004,,,,,,,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-10 15:00:00,18.7,79.7,0,0.0,12.0,5.0,,,,45.0,41.85,,41.85,,JTWC_conv_3min,,land,CS,1.045868912971898,11.954336377100947,-15.15,30.69,-11.16,,,,,,,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-10 18:00:00,19.2,79.7,0,0.0,11.0,0.0,,,,40.0,37.2,,37.2,,JTWC_conv_3min,,land,CS,0.0,11.0,-10.799999999999995,27.9,-9.3,,,,,,,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-10 21:00:00,19.8,79.7,0,0.0,12.0,5.0,,,,38.0,35.34,,35.34,,JTWC_conv_3min,,land,CS,1.045868912971898,11.954336377100947,-2.6599999999999966,,,,,,,,,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-11 00:00:00,20.4,79.8,0,0.0,12.0,10.0,,,,35.0,32.550000000000004,,32.550000000000004,,JTWC_conv_3min,,land,DD,2.083778132003164,11.817693036146496,5.550000000000004,,,,,,,,,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-11 03:00:00,20.9,79.9,0,0.0,10.0,15.0,,,,33.0,30.69,,30.69,,JTWC_conv_3min,,land,DD,2.5881904510252074,9.659258262890685,-11.16,,,,,,,,,over_land,,False
1990124N09088,1990,Unnamed,BB,NR,1990-05-11 06:00:00,21.4,80.1,0,,10.0,20.0,,,,30.0,27.9,,27.9,,JTWC_conv_3min,,land,D,3.420201433256687,9.396926207859083,-9.3,,,,,,,,,over_land,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-14 00:00:00,5.8,87.2,601,589.0,18.0,10.0,16.0,,1.0,15.0,13.95,,16.0,,IMD,2.049999999999999,bay_of_bengal,,3.125667198004746,17.726539554219745,0.0,27.0,11.0,33.0,17.0,35.0,19.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-14 03:00:00,6.5,87.2,588,585.0,13.0,0.0,16.0,,,15.0,13.95,,16.0,,IMD,2.049999999999999,bay_of_bengal,,0.0,13.0,0.0,27.0,11.0,33.0,17.0,35.0,19.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-14 06:00:00,7.1,87.3,596,596.0,11.0,5.0,16.0,,1.0,15.0,13.95,,16.0,,IMD,2.049999999999999,bay_of_bengal,,0.95871317022424,10.9581416790092,0.0,27.0,11.0,33.0,17.0,35.0,19.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-14 09:00:00,7.6,87.3,599,599.0,10.0,5.0,22.0,,,18.0,16.740000000000002,,22.0,,IMD,5.259999999999998,bay_of_bengal,D,0.8715574274765816,9.961946980917457,0.0,30.0,8.0,33.0,11.0,40.0,18.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-14 12:00:00,8.1,87.3,608,599.0,9.0,350.0,27.0,,1.5,20.0,18.6,,27.0,,IMD,8.399999999999999,bay_of_bengal,D,-1.5628335990023734,8.863269777109872,11.0,33.0,6.0,33.0,6.0,45.0,18.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-14 15:00:00,8.5,87.1,592,585.0,9.0,335.0,27.0,,,20.0,18.6,,27.0,,IMD,8.399999999999999,bay_of_bengal,D,-3.803564355666293,8.15677008332985,11.0,33.0,6.0,34.0,7.0,45.0,18.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-14 18:00:00,8.9,87.0,590,575.0,8.0,335.0,27.0,,1.5,20.0,18.6,,27.0,,IMD,8.399999999999999,bay_of_bengal,D,-3.3809460939255938,7.2504622962932,11.0,33.0,6.0,35.0,8.0,45.0,18.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-14 21:00:00,9.2,86.8,578,572.0,7.0,335.0,30.0,,,23.0,21.39,,30.0,,IMD,8.61,bay_of_bengal,DD,-2.9583278321848945,6.34415450925655,8.0,33.0,3.0,35.0,5.0,45.0,15.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-15 00:00:00,9.5,86.7,579,569.0,7.0,335.0,33.0,,2.0,25.0,23.25,,33.0,,IMD,9.75,bay_of_bengal,DD,-2.9583278321848945,6.34415450925655,6.0,33.0,0.0,35.0,2.0,45.0,12.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-15 03:00:00,9.9,86.5,577,572.0,8.0,335.0,33.0,,,25.0,23.25,,33.0,,IMD,9.75,bay_of_bengal,DD,-3.3809460939255938,7.2504622962932,6.0,34.0,1.0,35.0,2.0,50.0,17.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-15 06:00:00,10.2,86.4,582,572.0,7.0,335.0,33.0,,2.0,25.0,23.25,,33.0,,IMD,9.75,bay_of_bengal,DD,-2.9583278321848945,6.34415450925655,6.0,35.0,2.0,35.0,2.0,55.0,22.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-15 09:00:00,10.5,86.2,577,571.0,6.0,330.0,33.0,,,28.0,26.040000000000003,,33.0,,IMD,6.959999999999997,bay_of_bengal,DD,-3.0000000000000027,5.19615242270663,3.0,35.0,2.0,40.0,7.0,55.0,22.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-15 12:00:00,10.8,86.1,581,567.0,6.0,325.0,33.0,,2.0,30.0,27.9,,33.0,,IMD,5.099999999999998,bay_of_bengal,DD,-3.441458618106279,4.91491226573395,0.0,35.0,2.0,45.0,12.0,55.0,22.0,0.0,0.0,sheared,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-15 15:00:00,11.0,85.9,573,560.0,6.0,325.0,34.0,,,33.0,30.69,,34.0,,IMD,3.3099999999999987,bay_of_bengal,CS,-3.441458618106279,4.91491226573395,1.0,35.0,1.0,45.0,11.0,55.0,21.0,0.0,0.0,maritime_mature,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-15 18:00:00,11.2,85.7,566,563.0,7.0,330.0,35.0,,2.5,35.0,32.550000000000004,,35.0,,IMD,2.449999999999996,bay_of_bengal,CS,-3.500000000000003,6.062177826491069,2.0,35.0,0.0,45.0,10.0,55.0,20.0,0.0,0.0,maritime_mature,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-15 21:00:00,11.5,85.5,565,565.0,8.0,340.0,35.0,,,38.0,35.34,,35.0,,IMD,0.3400000000000034,bay_of_bengal,CS,-2.736161146605349,7.517540966287267,2.0,40.0,5.0,45.0,10.0,50.0,15.0,0.0,0.0,maritime_mature,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-16 00:00:00,11.9,85.4,568,564.0,9.0,0.0,35.0,,2.5,40.0,37.2,,35.0,,IMD,2.200000000000003,bay_of_bengal,CS,0.0,9.0,2.0,45.0,10.0,45.0,10.0,45.0,10.0,0.0,0.0,maritime_mature,,False
1990348N04087,1990,Unnamed,BB,NR,1990-12-16 03:00:00,12.4,85.5,572,545.0,10.0,15.0,35.0,,,40.0,37.2,,35.0,,IMD,2.200000000000003,bay_of_bengal,CS,2.5881904510252074,9.659258262890685,1.0,45.0,10.0,50.0,15.0,40.0,5.0,0.0,0.0,maritime_mature,,False
